Filename,Prompt
bg_rainforest.png,"Lush tropical rainforest scene with tall green trees, colorful parrots, and soft golden sunlight filtering through the canopy. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_arctic.png,"Peaceful arctic landscape with snow-covered ice fields, soft blue glaciers, and a gentle aurora in the sky. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_volcano.png,"Dramatic cartoon volcano scene with glowing orange lava, dark rocky terrain, and a fiery sunset sky. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_desert.png,"Colorful desert landscape with sand dunes, a bright orange sunset, cacti, and a clear starry sky beginning to appear. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_coral_reef.png,"Vibrant coral reef scene with colorful corals, tropical fish, seahorses, and shimmering blue ocean water. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_treehouse.png,"A magical treehouse in a giant oak tree with twinkling fairy lights, rope bridges, and a warm glowing window. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_castle.png,"Fairytale castle on a hilltop with tall towers, colorful banners, a rainbow in the sky, and a winding path. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_space_station.png,"A colorful cartoon space station orbiting Earth, with planets visible in the background and twinkling stars. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_candy_land.png,"Whimsical candy land landscape with lollipop trees, gumdrop hills, chocolate rivers, and cotton candy clouds. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_cherry_blossom.png,"Serene Japanese cherry blossom scene with pink sakura trees, a red wooden bridge over a calm pond, and petals floating in the air. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_meadow.png,"Sunny flower meadow with colorful wildflowers, butterflies, rolling green hills, and fluffy white clouds. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_pirate_island.png,"Tropical pirate island with palm trees, a sandy beach, a pirate ship in the bay, and a treasure chest on shore. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_winter_cabin.png,"Cozy winter cabin scene with snow-covered roof, warm light in windows, pine trees with snow, and softly falling snowflakes. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_jungle_river.png,"Cartoon jungle river scene with a winding blue river, lush tropical plants, toucans, and hanging vines. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_moon_base.png,"Cartoon moon base with dome buildings, a lunar rover, craters, and Earth visible in the starry black sky. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_enchanted_forest.png,"Magical enchanted forest with glowing mushrooms, fireflies, misty purple and blue atmosphere, and a fairy-tale path. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_dinosaur_valley.png,"Colorful dinosaur valley with friendly cartoon dinosaurs, volcanoes in the background, lush prehistoric plants, and a bright sky. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_hot_air_balloons.png,"Bright sky filled with colorful hot air balloons floating above green rolling countryside hills and a winding river. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_lighthouse.png,"Coastal lighthouse scene with a red and white striped lighthouse on rocky cliffs, crashing waves, seagulls, and a golden sunset. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_rainbow_valley.png,"A magical valley with a giant rainbow arching across the sky, green hills, sparkling waterfalls, and colorful wildflowers. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_soccer_field.png,"A lively cartoon soccer field with bright green grass, colorful goals, a soccer ball in the center, and cheering crowd silhouettes under stadium lights. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_basketball_court.png,"A fun cartoon outdoor basketball court with a bright orange hoop, bouncing basketball, blue sky, and colorful bleachers. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_swimming_pool.png,"A cheerful cartoon swimming pool scene with sparkling turquoise water, diving boards, pool floats, and a sunny blue sky. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_shooting_stars.png,"A magical night sky filled with bright colorful shooting stars streaking across a deep purple and blue galaxy backdrop with twinkling constellations. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_planets.png,"A colorful solar system scene with cartoon planets of different sizes and colors orbiting a bright glowing sun, surrounded by stars and nebulae. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_safari.png,"A vibrant African safari scene with friendly cartoon lions, giraffes, elephants, and zebras roaming golden savanna grasslands under a warm sunset. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_zoo.png,"A colorful cartoon zoo entrance with friendly animals peeking over enclosures, including a panda, monkey, parrot, and penguin, with green trees and a bright sky. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_ocean_animals.png,"A playful underwater ocean scene with friendly cartoon dolphins, sea turtles, jellyfish, and an octopus swimming among bubbles and sunbeams. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
bg_farm_animals.png,"A cheerful cartoon farm scene with a red barn, friendly cows, chickens, pigs, and a horse in a green pasture under a bright sunny sky. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
